Nama Pengguna,Rating,Tanggal,Ulasan,Sentimen,Ulasan_Bersih
Pengguna Google,1,2026-04-21 14:03:18,aplikasi banyak Bug kode OTP lambat dikirim,Negatif,aplikasi banyak bug kode otp lambat kirim
Pengguna Google,1,2026-04-21 14:02:53,"Saya daftar subsidi tepat. Minta verifikasi otp selama 1 menit, tetapi kode otp dikirimkan bisa lebih dari waktu yang diberikan. Minta jam 7an malam, kode otpnya dikirim jam 1 pagi. Sudah kadaluwarsa kode otp yang dikirimkan. Bagaimana solusinya?",Negatif,saya daftar subsidi tepat minta verifikasi otp lama menit tetapi kode otp kirim bisa lebih waktu beri minta jam an malam kode otpnya kirim jam pagi sudah kadaluwarsa kode otp kirim bagaimana solusi
Pengguna Google,1,2026-04-21 13:58:45,"kode otp gk masuk2 baik ke email ataupun WA, aplikasi bapuk",Negatif,kode otp tidak masuk baik email atau wa aplikasi bapuk
Pengguna Google,4,2026-04-21 13:57:57,Bintang satu,Positif,bintang satu
Pengguna Google,2,2026-04-21 13:52:16,lemot apk cacat mohon di tingkatkan agar lebih mudah,Negatif,lot aplikasi cacat mohon tingkat agar lebih mudah
Pengguna Google,5,2026-04-21 13:43:54,"Gk jelas kode otp tidak dikirim kirim, barkot kadaluarsa",Positif,tidak jelas kode otp tidak kirim kirim barkot kadaluarsa
Pengguna Google,5,2026-04-21 13:41:33,kenapa email login kode subsidi tepat nya ga masuk² ?,Positif,kenapa email login kode subsidi tepat nya tidak masuk
Pengguna Google,2,2026-04-21 13:23:11,"kode otp untuk sesi login kembali, gak dikirim.. tolonglah",Negatif,kode otp sesi login kembali gak kirim tolong
Pengguna Google,1,2026-04-21 13:18:31,"aplikasi gak guna tiba tiba barcode terblokir tanpa adanya pemberitahuan sistem ITE kalian bagaimana?kalo gak bisa jangan di serahkan kepada yg bukan ahlinya,apa gunanya daftar menggunakan nomor hp jika terblokir tanpa pemberitahuan sistem TERKOCAK YA INI app gagal",Negatif,aplikasi gak guna tiba tiba barcode blokir tanpa ada pemberitahuan sistem ite kalian bagaimanakalo gak bisa jangan serah kepada bukan ahlinyaapa guna daftar guna nomor hp jika blokir tanpa pemberitahuan sistem kocak ya app gagal
Pengguna Google,1,2026-04-21 13:04:21,Verifikasi OTPnya lama,Negatif,verifikasi otpnya lama
Pengguna Google,1,2026-04-21 13:02:22,otp nya tidak masuk padahal no nya sudah benar,Negatif,otp nya tidak masuk padahal no nya sudah benar
Pengguna Google,1,2026-04-21 12:49:41,mau bikin barcode.baru daftar di mypertamina code otp nya gak masuk2.tolong di perbaiki dong.,Negatif,mau bikin barcodebaru daftar mypertamina code otp nya gak masuktolong baik dong
Pengguna Google,1,2026-04-21 12:48:12,buruk sekali pas verifikasi OTP ke email lama ber jam jam sampai no otp kadaluarsa,Negatif,buruk sekali pas verifikasi otp email lama ber jam jam sampai no otp kadaluarsa
Pengguna Google,1,2026-04-21 12:37:58,mohon info ini kenapa barcode nya gabisa ya.. trs begitu masuk mypertamina knp malah unitnya ga ada.. coba masuk hubungkan ke subsidi nya juga kenapa otp nya ga masuk2 ke email,Negatif,mohon info kenapa barcode nya gabisa ya trs begitu masuk mypertamina knp malah unit tidak ada coba masuk hubung subsidi nya juga kenapa otp nya tidak masuk email
Pengguna Google,1,2026-04-21 12:34:21,minta otp 3 kali tidak di kirim apk apa ini copot langsung,Negatif,minta otp kali tidak kirim aplikasi apa copot langsung
Pengguna Google,2,2026-04-21 12:34:03,ini niat gak sih ngirim kode verifikasi aja lama banget gak dikirim kirim,Negatif,niat gak sih ngirim kode verifikasi aja lama banget gak kirim kirim
Pengguna Google,1,2026-04-21 12:22:13,aplikasi nyusahin orang,Negatif,aplikasi nyusahin orang
Pengguna Google,1,2026-04-21 12:21:48,"OTP kenapa tidak dikirim via wa ya,sudah 5x tidak dikirim juga",Negatif,otp kenapa tidak kirim via wa yasudah x tidak kirim juga
Pengguna Google,1,2026-04-21 12:00:34,gak bisa registrasi kode otp tidak masuk²,Negatif,gak bisa registrasi kode otp tidak masuk
Pengguna Google,1,2026-04-21 11:46:09,NGIRIM OTP AJA SUSAH KALI!!! PECAT AJA CS NYA!!,Negatif,ngirim otp aja susah kali pecat aja cs nya
Pengguna Google,1,2026-04-21 11:41:48,"tolong jangan mempersulit, ini kenapa barkode d blokir, di suruh memperbarui pun tidak bisa, rasanya pingin pindah negara",Negatif,tolong jangan sulit kenapa barkode d blokir suruh baru pun tidak bisa rasa pingin pindah negara
Pengguna Google,1,2026-04-21 11:37:02,"kirim kode otp via email aja susah banget, payah!",Negatif,kirim kode otp via email aja susah banget payah
Pengguna Google,1,2026-04-21 11:28:26,"eror trs ini apk g BS bantu klo ada trouble, barcode dhpus tiba2 tanpa kejelasan yang detail..",Negatif,eror trs aplikasi g bs bantu klo ada trouble barcode dhpus tiba tanpa jelas detail
Pengguna Google,1,2026-04-21 11:24:59,"respon admin kuranggg, registrasi tidak di layani, kode tidak masuk²",Negatif,respon admin kuranggg registrasi tidak layan kode tidak masuk
Pengguna Google,2,2026-04-21 11:22:43,ini gmna akun subsidi tepat d hapus giliran minta yang baru kode otp tidak d kirim kirim,Negatif,gmna akun subsidi tepat d hapus gilir minta baru kode otp tidak d kirim kirim
Pengguna Google,1,2026-04-21 11:16:31,"Bikin susah orang, ganti plat registrasi ulang repot",Negatif,bikin susah orang ganti plat registrasi ulang repot
Pengguna Google,5,2026-04-21 11:05:34,bagus,Positif,bagus
Pengguna Google,1,2026-04-21 10:58:36,"ini niatnya buat mempermudah atau mempersulit rakyat sih,kirim kode otp waktu cuma 10 menit,ditunggu tidak masuk,giliran udah masuk, tidak bisa dipakai kadaluwarsa, sebenernya bisa bikin aplikasi tidak sih? kebanyakan korupsi bikin aplikasi jadi tidak jelas manfaatnya",Negatif,niat buat mudah atau sulit rakyat sihkirim kode otp waktu cuma menitditunggu tidak masukgiliran udah masuk tidak bisa pakai kadaluwarsa sebenernya bisa bikin aplikasi tidak sih banyak korupsi bikin aplikasi jadi tidak jelas manfaat
Pengguna Google,5,2026-04-21 10:57:08,ok,Positif,ok
Pengguna Google,4,2026-04-21 10:41:18,kurang maksimal kecewa,Positif,kurang maksimal kecewa
Pengguna Google,1,2026-04-21 10:40:05,buat barcode aja sampe berhari hari .ga efisien ni Pertamina sangat mengecewakan..giliran buat di pom langsung hanya beberapa menit jadi,Negatif,buat barcode aja sampe hari hari tidak efisien ni pertamina sangat mengecewakangiliran buat pom langsung hanya beberapa menit jadi
Pengguna Google,1,2026-04-21 10:28:52,"susahnya log in, susahnya daftar, verifikasi lama x, cepet mati lah di buat pemerintah' buat akun susah' segalanya susah'",Negatif,susah log in susah daftar verifikasi lama x cepet mati lah buat perintah buat akun susah segala susah
Pengguna Google,1,2026-04-21 10:28:05,"kode Verifikasi gak masuk masuk, bad service",Negatif,kode verifikasi gak masuk masuk bad service
Pengguna Google,1,2026-04-21 10:20:55,"verifikasi email berulang kali, kode tetap tidak kunjung dikirim ke email",Negatif,verifikasi email ulang kali kode tetap tidak kunjung kirim email
Pengguna Google,1,2026-04-21 10:20:16,OTP via email tdk bisa dikirim.,Negatif,otp via email tidak bisa kirim
Pengguna Google,1,2026-04-21 10:19:21,"gak jelas mau login aja susah,nunggu otp via email harus Berjam jam,giliran ada otp pas dimasukin gak bisa",Negatif,gak jelas mau login aja susahnunggu otp via email harus jam jamgiliran ada otp pas dimasukin gak bisa
Pengguna Google,1,2026-04-21 10:04:56,"jelek, pengiriman kode tidak jelas, lama",Negatif,jelek kirim kode tidak jelas lama
Pengguna Google,1,2026-04-21 09:56:17,"kenapa data & barcode bbm subsidi langsung dihapus tanpa sosialisasi & diberikan dispensasi 1x pemakaian disertakan pemberitahuan saat pengisian??? saya sebagai driver dengan begini malah menyusahkan,mau pulang jadi tidak bisa pulang2 karena tidak bisa isi bbm . sdh 1 malam kode verifikasi dikirim tapi tidak ada sama sekali yg masuk. aturan yg bener2 merepotkan dan menyusahkan. hapus aturan barcode biar tidak menyusahkan begini.",Negatif,kenapa data barcode bbm subsidi langsung hapus tanpa sosialisasi beri dispensasi x pakai serta pemberitahuan saat isi saya bagai driver begini malah menyusahkanmau pulang jadi tidak bisa pulang karena tidak bisa isi bbm sdh malam kode verifikasi kirim tapi tidak ada sama sekali masuk atur bener repot susah hapus atur barcode biar tidak susah begini
Pengguna Google,1,2026-04-21 09:54:51,"aplikasi yg tujuannya hanya menyulitkan saja. daftar berkalikali alasan penolakan tidak jelas fotonya padahal sudah dicek terbaca semua. terakhir coba, alasann penolaknnya tambah konyol, foto stnk mirip dengan foto stnk sebelumnya. lah memang mobilnya sama tp sebelnya daftar gagal. gak guna sama sekali",Negatif,aplikasi tuju hanya sulit saja daftar berkalikali alas tolak tidak jelas foto padahal sudah cek baca semua akhir coba alasann penolaknnya tambah konyol foto stnk mirip foto stnk belum lah memang mobil sama tp sebel daftar gagal gak guna sama sekali
Pengguna Google,1,2026-04-21 09:51:58,APLIKASI SAMPAH.... NIAT GAK SIH BIKINNYA??? TOLONG YA DI PERBAIKI KECEPATAN KIRIM KODE OTPNYA...LAMAAA BGT... GILIRAN KODE DI KIRIM PAS MAU MASUKIN MALAH EXPIRED... BUANG2 WAKTU!!! KITA INI BELI BBM BUKAN MAU GRATISAN!!! GAJELAS!!!,Negatif,aplikasi sampah niat gak sih bikin tolong ya baik cepat kirim kode otpnyalamaaa banget gilir kode kirim pas mau masukin malah expired buang waktu kita beli bbm bukan mau gratis gajelas
Pengguna Google,2,2026-04-21 09:43:29,mengapa setiap kali mau bayar melalui aplikasi mypertamina sering gangguan kalau pakai operator telkomsel? maksudnya saat mau scan barcode selalu bermasalah menggunakan intertnet dari telkomsel itu kenapa ya??,Negatif,mengapa tiap kali mau bayar lalu aplikasi mypertamina sering ganggu kalau pakai operator telkomsel maksud saat mau scan barcode selalu masalah guna intertnet telkomsel kenapa ya
Pengguna Google,1,2026-04-21 09:43:17,"Aplikasi lambat, tidak responsif dan tidak mempermudah pengguna",Negatif,aplikasi lambat tidak responsif tidak mudah guna
Pengguna Google,1,2026-04-21 09:24:49,"kalo bisa bbm jenis subsidi di naikan saja, dan hapus sistim2 yg kalian bilang bisa mempermudah dan tepat sasaran itu, nyatanya di lapangan hasilnya 0 besar.. khususnya di wilayah sumatra, dan ada satu provinsi di wilayah sumatra yg memberlakukan salah satu sistim nyeleneh, harus wajib plat daerah tersebut yg berhak mengisi bbm subsidi jenis solar, untuk plat Luar daerah tsb gak bakal bisa isi bbm subsidi jenis solar, itu kan nyeleneh.. gak mikir gimana nasib para sopir yg dari luar daerah ...",Negatif,kalo bisa bbm jenis subsidi naik saja hapus sistim kalian bilang bisa mudah tepat sasar nyata lapang hasil besar khusus wilayah sumatra ada satu provinsi wilayah sumatra laku salah satu sistim nyeleneh harus wajib plat daerah sebut hak isi bbm subsidi jenis solar plat luar daerah tsb gak bakal bisa isi bbm subsidi jenis solar kan nyeleneh gak mikir gimana nasib para sopir luar daerah
Pengguna Google,1,2026-04-21 09:24:39,otp yang masuk ke Email pada saat perbarui barcode tidak keluar,Negatif,otp masuk email saat baru barcode tidak keluar
Pengguna Google,1,2026-04-21 09:16:36,kode otp 3 jam baru dapet..keburu kadaluarsa..kalah sama pinjol,Negatif,kode otp jam baru dapetkeburu kadaluarsakalah sama pinjol
Pengguna Google,1,2026-04-21 09:13:50,"susah bgt dapet kode OTP nya, gmn mau login",Negatif,susah banget dapet kode otp nya gmn mau login
Pengguna Google,1,2026-04-21 08:57:54,"verifikasi email aja bikin emosi, minta kode Verifikasi lelet banget. verifikasi tanggal 19 lucunya kode Verifikasi baru nongol tgl 20. kalau ga niat perbaiki ini sistem aplikasi, hapus aja",Negatif,verifikasi email aja bikin emosi minta kode verifikasi lelet banget verifikasi tanggal lucu kode verifikasi baru nongol tgl kalau tidak niat baik sistem aplikasi hapus aja
Pengguna Google,1,2026-04-21 08:49:29,"aplikasinya mempersulit dan semakin sulit login, secara tiba tiba dihapus 1 per 1 dan update lagi susaaaaaaaaah, setiap kali selalu perbaikan sistem,perbaikan sistem, perbaikan sistem melulu",Negatif,aplikasi sulit makin sulit login cara tiba tiba hapus per update lagi susaaaaaaaaah tiap kali selalu baik sistemperbaikan sistem baik sistem melulu
Pengguna Google,1,2026-04-21 08:47:53,gangguan teruss sampe mampus ngisi aja di persulit,Negatif,ganggu teruss sampe mampus ngisi aja sulit
Pengguna Google,1,2026-04-21 08:46:47,"Hari ini tgl 21-4-2026 , pukul 08:46 WIB Aplikasinya Lemoootttttttttt",Negatif,hari tgl pukul wib aplikasi lemoootttttttttt
Pengguna Google,5,2026-04-21 08:14:57,ini barcode sudah expired... TPI pengurusannya gagal terus... ini nyusahin rakyat kecil ini .. malah gak tepat sasaran,Positif,barcode sudah expired tpi urus gagal terus nyusahin rakyat kecil malah gak tepat sasar
Pengguna Google,1,2026-04-21 08:01:50,"sekelas aplikasi pemerintah kok seperti ini,malu maluin ,,, verifikasi email saja gak pernah bisa,,,tolong perbaiki lah segera,,",Negatif,kelas aplikasi perintah kok seperti inimalu maluin verifikasi email saja gak pernah bisatolong baik lah segera
Pengguna Google,1,2026-04-21 07:45:26,"aplikasi nya gajelas, verifikasi email udah 1 jam an gaada otp masuk, bikin barcode solar susahh",Negatif,aplikasi nya gajelas verifikasi email udah jam an gaada otp masuk bikin barcode solar susahh
Pengguna Google,1,2026-04-21 07:43:14,otp datang setahun kemudian,Negatif,otp datang tahun kemudian
Pengguna Google,1,2026-04-21 07:33:32,"kenapa tiba tiba gak bisa barcode nya, di my Pertamina juga mau ngirim kode otp lama masuk nya",Negatif,kenapa tiba tiba gak bisa barcode nya my pertamina juga mau ngirim kode otp lama masuk nya
Pengguna Google,4,2026-04-21 07:30:35,semoga bisa,Positif,moga bisa
Pengguna Google,1,2026-04-21 07:06:28,bikin susah,Negatif,bikin susah
Pengguna Google,1,2026-04-21 06:55:18,"Aplikasi gak jelas, gak masuk"" kode OTP nya benci kali sumpah.",Negatif,aplikasi gak jelas gak masuk kode otp nya benci kali sumpah
Pengguna Google,2,2026-04-21 06:55:02,gagal masuk trus 😔,Negatif,gagal masuk trus
Pengguna Google,5,2026-04-21 06:51:19,ok banget,Positif,ok banget
Pengguna Google,1,2026-04-21 06:22:58,nunggu kode otp terlalu lama...,Negatif,nunggu kode otp terlalu lama
Pengguna Google,1,2026-04-21 06:17:50,"mau log in ulang, verifikasi email aja untuk dpt kode otpnya ga ontime. kirim kode otp jam 16.00 masuknya ke email jam 20.00. begitu seterusnya. KENAPA NGELAG NYA LAMA AMAT YAAA??... sama aja ga bisa daftar baru buat dapat barcode dong. 😬.. pake 3 hp dng email beda, tp sama aja!!! buat verif otp ke email aja susahnya setengah matiiii 👎👎",Negatif,mau log in ulang verifikasi email aja dpt kode otpnya tidak ontime kirim kode otp jam masuk email jam begitu terus kenapa ngelag nya lama amat yaaa sama aja tidak bisa daftar baru buat dapat barcode dong pake hp dng email beda tp sama aja buat verif otp email aja susah tengah matiiii
Pengguna Google,1,2026-04-21 05:17:09,aplikasi kaga jelas semuanya minim,Negatif,aplikasi kaga jelas semua minim
Pengguna Google,1,2026-04-21 04:56:54,daftar 2 mobil kenapa yg muncul cuma 1 ya. padahal 22 nya SDH terdaftar malah kode otp nya selalu SDH kadarluasa. gak BSA nyambung. miris amat Ama aiti kalian cma BSA nyusah i org saja,Negatif,daftar mobil kenapa muncul cuma ya padahal nya sdh daftar malah kode otp nya selalu sdh kadarluasa gak bsa nyambung miris amat ama aiti kalian cma bsa nyusah i org saja
Pengguna Google,1,2026-04-21 01:56:10,Kecewa banget mau verifikasi email tapi kode OTP nya delay banget gax masuk-masuk. Perbaiki lagi sistemnya,Negatif,kecewa banget mau verifikasi email tapi kode otp nya delay banget gax masukmasuk baik lagi sistem
Pengguna Google,5,2026-04-21 01:24:55,barcode sllu Ter blokir knpa ya pk?,Positif,barcode sllu ter blokir knpa ya pk
Pengguna Google,1,2026-04-21 00:01:50,"lama banget nunggu code verifikasi. giliran ada, malah kadaluarsa. huuuuuuuu. ribet",Negatif,lama banget nunggu code verifikasi gilir ada malah kadaluarsa huuuuuuuu ribet
Pengguna Google,5,2026-04-20 22:49:34,ok,Positif,ok
Pengguna Google,5,2026-04-20 22:11:32,keren,Positif,keren
Pengguna Google,1,2026-04-20 21:51:39,lelet abis OTP aja lama banget ajig,Negatif,lelet abis otp aja lama banget ajig
Pengguna Google,1,2026-04-20 21:36:05,"digitalisasi terburuk. sudah daftar sekian kali tetap saja ditolak dengan alasan yang sama sedangkan data sudah sesuai dengan fisik dan lengkap disamsat masih saja ditolak. jangankan ini daftat. kirim OTP saja ga masuk"" email. respon sama lambatnya seperti bekicot sawah. benar"" tidak dapat membantu!!!",Negatif,digitalisasi buruk sudah daftar sekian kali tetap saja tolak alas sama sedang data sudah sesuai fisik lengkap disamsat masih saja tolak jangan daftat kirim otp saja tidak masuk email respon sama lambat seperti bekicot sawah benar tidak dapat bantu
Pengguna Google,1,2026-04-20 21:32:36,otp email lama sekali sehingga kelewat trus mau masuk ke subsidi tepat,Negatif,otp email lama sekali sehingga lewat trus mau masuk subsidi tepat
Pengguna Google,1,2026-04-20 21:14:19,apk gblk server jelek nunggu verifikasi kode entah berapa tahun,Negatif,aplikasi gblk server jelek nunggu verifikasi kode entah berapa tahun
Pengguna Google,1,2026-04-20 20:42:41,"lupa password, email-nya gak masuk masuk, sekalinya masuk kadaluarsa kan ngehek",Negatif,lupa password email gak masuk masuk sekali masuk kadaluarsa kan ngehek
Pengguna Google,1,2026-04-20 20:39:39,email otp tidak segera dikirim,Negatif,email otp tidak segera kirim
Pengguna Google,1,2026-04-20 20:08:05,"Sedih sekali bagaimana aplikasi BUMN milik negara jauh lebih jelek daripada aplikasi Swasta, tidak ada kirim opsi OTP lewat WhatsApp, mengganti nomor hp gagal terus, menunggu kode OTP sampai 30 menit. Kalau tidak mau mensejahterakan rakyat kecil ya sudahlah minimal jangan mempersulit hajat hidup orang.",Negatif,sedih sekali bagaimana aplikasi bumn milik negara jauh lebih jelek daripada aplikasi swasta tidak ada kirim opsi otp lewat whatsapp ganti nomor hp gagal terus tunggu kode otp sampai menit kalau tidak mau sejahtera rakyat kecil ya sudah minimal jangan sulit hajat hidup orang
Pengguna Google,1,2026-04-20 20:02:57,susah amt otp di imel .kgk di kirim2 parah,Negatif,susah amt otp imel kgk kirim parah
Pengguna Google,2,2026-04-20 19:24:15,setelah update kode otw lama,Negatif,telah update kode otw lama
Pengguna Google,5,2026-04-20 19:14:04,"pelayanan sudah cukup baik, kebersihan toilet leb8h ditingkatkan lagi",Positif,layan sudah cukup baik bersih toilet lebh tingkat lagi
Pengguna Google,1,2026-04-20 18:55:43,aplikasi ini belum siap kaya nya. mau ngirim kode Verifikasi email buat daftar subsidi tepat aja lelet nya minta ampun. waktu nya cuma 1 menit tapi email datang na udah 1-2 jam kemudian pas di masukan kode nya kadaluwarsa. boa edannn.,Negatif,aplikasi belum siap kaya nya mau ngirim kode verifikasi email buat daftar subsidi tepat aja lelet nya minta ampun waktu nya cuma menit tapi email datang na udah jam kemudian pas masuk kode nya kadaluwarsa boa edannn
Pengguna Google,1,2026-04-20 18:34:26,kode otp harusnya di isi 60 detik baru terkirim 60 menit berikutnya,Negatif,kode otp harus isi detik baru kirim menit ikut
Pengguna Google,2,2026-04-20 18:32:17,"Lama ga buka Mypertamina , sekali buka minta OTP , udh puluhan kali klik kirim kode OTP ga masuk masuk , sekali masuk kode salah , bisa ga sih jgn nyusahin , klik OTP siang masuk email mlm ga ngotak , woy bisa ga sih jgn nyusahin",Negatif,lama tidak buka mypertamina sekali buka minta otp udh puluh kali klik kirim kode otp tidak masuk masuk sekali masuk kode salah bisa tidak sih jgn nyusahin klik otp siang masuk email mlm tidak ngotak woy bisa tidak sih jgn nyusahin
Pengguna Google,1,2026-04-20 18:13:41,"minimal kasih notif lah kalo barcode nya kadaluarsa bjirrrr,mana daftar ulang nya lama 14hr kerja sempakkk 1 KATA.... RIBET...!!!!!!",Negatif,minimal kasih notif lah kalo barcode nya kadaluarsa bjirrrrmana daftar ulang nya lama hr kerja sempakkk kata ribet
Pengguna Google,1,2026-04-20 17:58:51,"aplikasi g jelas, mempersulit. masak mau nyambungkan ke emial kode OTP nya 1 jam kemudian baru masuk aplikasi g beres",Negatif,aplikasi g jelas sulit masak mau nyambungkan emial kode otp nya jam kemudian baru masuk aplikasi g beres
Pengguna Google,5,2026-04-20 17:51:38,mantab,Positif,mantab
Pengguna Google,1,2026-04-20 17:24:04,"App sudah saya update, tapi waktu mau cek kendaraan yang sudah terdaftar malah gak bisa. Sudah input NIK dan password, tinggal nunggu konfirmasi email buat input 6 digit malah gak ada email masuk. Ayo dong, perbaiki aplikasinya, masa kalah sama negara sebelah...",Negatif,app sudah saya update tapi waktu mau cek kendara sudah daftar malah gak bisa sudah input nik password tinggal nunggu konfirmasi email buat input digit malah gak ada email masuk ayo dong baik aplikasi masa kalah sama negara belah
Pengguna Google,1,2026-04-20 17:11:36,minimal kasih notih yah jika barkode kadarwarsa susahin orang aja.. 👎👎👎👎👎👎👎,Negatif,minimal kasih notih yah jika barkode kadarwarsa susahin orang aja
Pengguna Google,2,2026-04-20 17:05:35,"pengiriman pesan ke gmail sangat lambat saya menunggu setengah jam untung menunggu kode, lalu kode itu kadaluwarsa, dan harus menunggu lagi. sangat slow respon bagian pengiriman pesan nya.",Negatif,kirim pesan gmail sangat lambat saya tunggu tengah jam untung tunggu kode lalu kode kadaluwarsa harus tunggu lagi sangat slow respon bagi kirim pesan nya
Pengguna Google,1,2026-04-20 17:00:38,gajelas suruh serifikat otp by email dikasih waktu 60 detik sedangkan otp keluar nya 5 menit kocak,Negatif,gajelas suruh serifikat otp by email kasih waktu detik sedang otp keluar nya menit kocak
Pengguna Google,2,2026-04-20 16:46:48,sumpah kayak mau nangis tiap kali masukan kode OTP tetap salah. ya Allah my pertamina kok kalian persulit kami to....?,Negatif,sumpah kayak mau nang tiap kali masuk kode otp tetap salah ya allah my pertamina kok kalian sulit kami to
Pengguna Google,1,2026-04-20 15:06:57,"Apa apaan sih ini My Pertamina menyulitkan banget? Tidak bisa isi BBM karena belum update poto. Giliran update poto ditolak terus, akhirnya hapus akun. Aku pakai akun anakku tetep gitu. Minta kode OTP email pun tidak masuk",Negatif,apa apa sih my pertamina sulit banget tidak bisa isi bbm karena belum update poto gilir update poto tolak terus akhir hapus akun aku pakai akun anak tetep gitu minta kode otp email pun tidak masuk
Pengguna Google,1,2026-04-20 14:59:31,mobil kondisi jalan pajak dll tiba tiba data subsidi tepat di hapus begitu saja wah. jangan semena mena untuk penghapusan barcode subsidi tepat ini boss,Negatif,mobil kondisi jalan pajak dll tiba tiba data subsidi tepat hapus begitu saja wah jangan semena mena hapus barcode subsidi tepat boss
Pengguna Google,1,2026-04-20 14:57:46,"QR code lama hilang, buka mypertamina login gagal, klik lupa password jawabnya akan kirim ke email, email dicek berjam2 kosong ga ada jawaban",Negatif,qr code lama hilang buka mypertamina login gagal klik lupa password jawab akan kirim email email cek jam kosong tidak ada jawab
Pengguna Google,1,2026-04-20 14:50:07,"udh daftar tapi nik sama sandi malah salah terus di subsidi pertamina, jgn memperibet rakyat lah.",Negatif,udh daftar tapi nik sama sandi malah salah terus subsidi pertamina jgn memperibet rakyat lah
Pengguna Google,4,2026-04-20 14:35:03,Siang Admind.. Saya mau update aplikasi My pertamina.. Tapi muncul tulisan Aplikasi ini tidak kompatibel lg dengan perangkat anda.. Bagaimana solusinya untuk update nya..?,Positif,siang admind saya mau update aplikasi my pertamina tapi muncul tulis aplikasi tidak kompatibel lg perangkat anda bagaimana solusi update nya
Pengguna Google,1,2026-04-20 14:26:58,"sangat buruk kode otp selalu terlambat masuk , mempersulit kami para pejuang roda ekonomi",Negatif,sangat buruk kode otp selalu lambat masuk sulit kami para juang roda ekonomi
Pengguna Google,1,2026-04-20 13:07:01,lama kali otpnya,Negatif,lama kali otpnya
Pengguna Google,1,2026-04-20 12:51:52,aplikasibya gmn sih mau buat barcode aja dibuat susahhhhh,Negatif,aplikasibya gmn sih mau buat barcode aja buat susahhhhh
Pengguna Google,5,2026-04-20 11:56:02,bagus,Positif,bagus
Pengguna Google,4,2026-04-20 11:39:10,kadang lambat,Positif,kadang lambat
Pengguna Google,5,2026-04-20 10:43:27,bagus,Positif,bagus
Pengguna Google,5,2026-04-20 10:39:11,bagus dan sangat membantu,Positif,bagus sangat bantu
Pengguna Google,1,2026-04-20 10:00:36,sangat payah....,Negatif,sangat payah
Pengguna Google,5,2026-04-20 09:54:55,mantab,Positif,mantab
Pengguna Google,2,2026-04-20 09:28:46,mau registrasi ulang susah banget,Negatif,mau registrasi ulang susah banget
Pengguna Google,5,2026-04-20 07:32:16,baguss,Positif,baguss
Pengguna Google,5,2026-04-20 07:06:43,mantab,Positif,mantab
Pengguna Google,5,2026-04-20 02:57:00,baik dan akurat,Positif,baik akurat
Pengguna Google,1,2026-04-19 23:55:57,poin sudah gk bisa di tuker ke merchand. terus ini poin buat apa coba?,Negatif,poin sudah tidak bisa tuker merchand terus poin buat apa coba
Pengguna Google,1,2026-04-19 23:37:06,tidak bisa login,Negatif,tidak bisa login
Pengguna Google,5,2026-04-19 22:47:03,mantap,Positif,mantap
Pengguna Google,5,2026-04-19 22:18:55,mantap,Positif,mantap
Pengguna Google,1,2026-04-19 21:49:02,aplikasi cuma dijadikan proyek terstruktur untuk mengambil keuntungan dari rakyat,Negatif,aplikasi cuma jadi proyek struktur ambil untung rakyat
Pengguna Google,1,2026-04-19 21:36:43,kenapa data kendraan di hapus sepihak..banyak kerugian yang kami alami saat di lintasan..siapa yang bertanggung jawab atas semua ini,Negatif,kenapa data kendraan hapus sepihakbanyak rugi kami alami saat lintasansiapa tanggung jawab atas semua
Pengguna Google,5,2026-04-19 20:10:51,semakin tepat,Positif,makin tepat
Pengguna Google,1,2026-04-19 16:24:34,"lemottt bener kalo di spbu, apalagi kalo pakek telkomsel",Negatif,lemottt bener kalo spbu apalagi kalo pakek telkomsel
Pengguna Google,5,2026-04-19 14:14:33,kalo lg mau isi di pertamina suka lemot aplikasinya kenapa ya.,Positif,kalo lg mau isi pertamina suka lot aplikasi kenapa ya
Pengguna Google,4,2026-04-19 14:11:10,is the best,Positif,is the best
Pengguna Google,1,2026-04-19 12:18:52,"Ribet dalam melakukan pembayaran, mesti di singkron dengan gopay harusnya dari mbanking bisa tinggal scan qris dan ada notifikasi transaksi, kode spbu lokasi berada",Negatif,ribet dalam laku bayar mesti singkron gopay harus mbanking bisa tinggal scan qris ada notifikasi transaksi kode spbu lokasi ada
Pengguna Google,1,2026-04-19 11:49:33,Aplikasi loading terus sampe lebaran kuda,Negatif,aplikasi loading terus sampe lebaran kuda
Pengguna Google,5,2026-04-19 11:28:29,mantap josss,Positif,mantap josss
Pengguna Google,5,2026-04-19 11:23:10,keren,Positif,keren
Pengguna Google,2,2026-04-19 09:47:06,"halo admin, kenapa saya tidak bisa masuk lagi ke akun saya nomor HP dan PIN sudah betul",Negatif,halo admin kenapa saya tidak bisa masuk lagi akun saya nomor hp pin sudah betul
Pengguna Google,1,2026-04-19 09:26:13,"reset sandi tp stlh klik link di email malah balek ke PlayStore klik utk lanjutkan, stlh klik ga jalan juga, program aplikasi ga beres...bolak balik spt itu..parah banget, ribet n hao hao .....",Negatif,reset sandi tp stlh klik link email malah balek playstore klik utk lanjut stlh klik tidak jalan juga program aplikasi tidak beresbolak balik spt ituparah banget ribet n hao hao
Pengguna Google,5,2026-04-19 07:32:51,bagus,Positif,bagus
Pengguna Google,1,2026-04-19 06:50:23,Daftar susah sekali gak jelas apa yg salah padahal udah sesuai intruksi,Negatif,daftar susah sekali gak jelas apa salah padahal udah sesuai intruksi
